There were varying degrees of Romanization throughout Roman Dacia.	Houve vários graus de romanização em toda a Dácia romana.
Cosby borrowed several names from his real-life family for his fictional one; Clair's maiden name is Hanks, which she shares with Camille.	Cosby emprestou vários nomes de sua família da vida real para a sua família fictícia; o sobrenome de solteira de Clair é Hanks, que ela compartilha com Camille.
The second season explores each character gaining more responsibility, none more-so than Clair, who is deliberately provided with more storylines to experience and new emotions to express in terms of her relationship with her husband and children.	A segunda temporada explora cada personagem ganhando mais responsabilidade, nenhum deles mais que a Clair, sendo deliberadamente fornecida com mais histórias para vivenciar e novas emoções para expressar em termos de seu relacionamento com seu marido e seus filhos.
Clair is portrayed by American actress Phylicia Rashad.	A atriz americana Phylicia Rashad interpreta Clair.
In addition to appearing in minor roles on both television and Broadway, Rashad had a recurring role as Courtney Wright on the soap opera One Life to Live before Cosby personally selected her to play his character's wife.	Além de fazer papéis menores na televisão e na Broadway, Rashad desempenhou um papel recorrente como Courtney Wright na novela One Life to Live antes de Cosby a escolher pessoalmente para interpretar a esposa de seu personagem.
Several actresses auditioned for the role, the majority of whom tended to resort to angrily yelling and moving their heads in a manner similar to that of a bobblehead doll when scolding the child actors playing the character's children during their auditions.	Várias atrizes fizeram o teste para o papel, a maioria das quais tendia a gritar com raiva e mover a cabeça parecendo uma boneca bobblehead ao repreender os atores mirins que interpretavam os filhos dos personagens durante suas audições.
However, Rashad's subtle interpretation was different from those of her competitors; when the actress screen tested opposite actor Malcolm Jamal-Warner, who would ultimately go on to portray son Theo, Rashad simply paused, stared and silently gave him "a look" instead of immediately scolding the character that, according to Cosby, meant "four or five things ... and none of them were good." At the end of Rashad's audition, Cosby announced "[Rashad is] Clair" to Carsey.	No entanto, a interpretação sutil de Rashad diferia das de suas concorrentes; quando a atriz fez o teste de tela ao lado do ator Malcolm Jamal-Warner que acabaria interpretando o filho Theo, ela simplesmente parou, encarou e silenciosamente “deu uma olhada” para ele em vez de imediatamente repreendê-lo o que, segundo Cosby, significava “quatro ou cinco coisas, e nenhuma delas era boa”. No final da audição de Rashad, Cosby anunciou “[Rashad será a] Clair” para Carsey.
Additionally, because Clair was still intended to be of Dominican heritage at the time, Rashad's own bilingualism and fluency in Spanish benefited her successful casting.	Além disso, como Clair ainda deveria ser de origem dominicana na época, o próprio bilinguismo e a fluência em espanhol de Rashad foram benéficos para o seu teste de elenco bem-sucedido.
Most of what is now NY 171 was improved to state highway standards as part of a project contracted out by the state of New York on July 12, 1916.	A maior parte do que hoje é a NY 171 foi aprimorada para os padrões de rodovias estaduais como parte de um projeto contratado pelo estado de Nova York no dia 12 de julho de 1916.
The work covered the 5.10 miles (8.21 km) of the route outside of the Frankfort village limits.	O trabalho cobriu 5,10 milhas (8,21 km) da rota fora dos limites da aldeia de Frankfort. 
The reconstruction was completed in the 1920s, and the Frankfort Gorge road was added to the state highway system as unsigned State Highway 1346 (SH 1346) by 1926.	A reconstrução foi concluída na década de 1920, e a estrada de Frankfort Gorge foi adicionada ao sistema rodoviário estadual como State Highway 1346 (SH 1346) sem sinalização por volta de 1926.
In the 1930 renumbering of state highways in New York, SH 1346 became part of NY 171, which continued northeast to Main Street in Frankfort on several state and locally maintained streets.	Na renumeração das rodovias estaduais de Nova York em 1930, a SH 1346 tornou-se parte da NY 171, que continuava a nordeste até a Main Street em Frankfort em várias ruas mantidas pelo estado e localmente.
At the time, Main Street was part of NY 5S, another route assigned as part of the renumbering.	Na época, a Main Street fazia parte da NY 5S, outra rota atribuída como parte da renumeração.
In the late 1960s, a limited-access highway was constructed between Utica and Ilion alongside NY 5S. The new highway became part of a rerouted NY 5S in the early 1970s.	No final da década de 1960, uma rodovia de acesso limitado foi construída entre Utica e Ilion ao lado da NY 5S. A nova rodovia tronou-se parte de uma NY 5S redirecionada no início dos anos 1970.
As a result, NY 171, which does not interchange with the highway, no longer connects to any other signed state routes.	Como resultado, a NY 171, que não cruza com a rodovia, não se conecta mais a nenhuma outra rota estadual sinalizada.
NY 171 is the only signed state highway in New York that is completely isolated from the remainder of the state highway system.	A NY 171 é a única rodovia estadual sinalizada em Nova York que está completamente isolada do restante do sistema rodoviário estadual.
In 1992, Sony submitted plans that required approval by the New York City Planning Commission, in which it would take some of the open space in the building's atrium that had been used to obtain approval for additional floors on top of the building, and convert those areas into retail space.	Em 1992, a Sony apresentou planos que exigiam a aprovação da Comissão de Planejamento da Cidade de Nova York, nos quais levaria parte do espaço aberto no átrio do prédio que havia sido usado para obter a aprovação de andares adicionais no topo do prédio e converteria aquelas áreas em espaços comerciais.
In exchange, the company would expand the glass-enclosed pedestrian walkway with the addition of planters and public seating.	Em troca, a empresa expandiria a passarela de pedestres envidraçada com a adição de canteiros e assentos públicos.
Sony expected that the proposed conversion of the 8,727 sq ft (810.8 m²) of public space could be converted into stores that could be leased at rates that The New York Times estimated could approach $200 per square foot.	A Sony esperava que a conversão proposta dos 8.727 pés quadrados (810,8 m²) de espaço público pudesse ser convertida em lojas que poderiam ser alugadas a preços que o The New York Times estimou em aproximadamente US$ 200 por pé quadrado.
The company noted that the space was underutilized as a public amenity because it was "dark, windy and noisy" and that its conversion to commercial space would provide "retail continuity" with the remainder of Madison Avenue.	A empresa observou que o espaço foi subutilizado como uma comodidade pública porque era “escuro, ventoso e barulhento” e que sua conversão em espaço comercial proporcionaria “continuidade de varejo” com o restante da Madison Avenue.
By 1996, Sony had consolidated most of the operations for its Sony Music Entertainment division at 550 Madison Avenue, for which The New York Times noted that "such high-profile and elaborate space is appropriate and necessary." That same year, Sony acquired additional space across the street at 555 Madison Avenue, a 445,000 sq ft (41,300 m²) building built in the 1960s that underwent renovations of its lobby, windows, bathrooms and other common spaces in conjunction with Sony's lease.	Em 1996, a Sony havia consolidado a maioria das operações de sua divisão Sony Music Entertainment na Madison Avenue, 550, para a qual o The New York Times observou que “esse espaço elaborado e de grande importância é apropriado e necessário”. Nesse mesmo ano, a Sony adquiriu espaço adicional do outro lado da rua na Madison Avenue, 555, em um edifício de 445.000 pés quadrados (41.300 m²) construído na década de 1960 que passou por reformas em seu saguão, janelas, banheiros e outros espaços comuns em conjunção com a locação da Sony.
Sony signed leases through 2013 on an additional 90,000 sq ft (8,400 m²) on the sixth through ninth floors of the building, on top of an initial rental of 90,000 sq ft (8,400 m²) of space on the second through fifth floors of the building that it had made in 1995.	A Sony assinou locações até 2013 em mais de 90.000 pés quadrados (8.400 m²) do sexto ao nono andar do edifício, além de um aluguel inicial de 90.000 pés quadrados (8.400 m²) de espaço do segundo ao quinto andar do edifício que havia feito em 1995.
Rents on the floors had averaged about $34 per square foot at the time.	Os aluguéis dos andares custavam em média US$ 34 por pé quadrado na época.
Sony connected the two buildings using fiber optic cables that were run under Madison Avenue and installed microwave communications equipment on the top of the 555 building.	A Sony conectou dois prédios usando cabos de fibra ótica que passavam sob a Madison Avenue e instalou equipamentos de comunicação por micro-ondas no topo do edifício 555.
Sony made these moves, which included early termination of leases on space in the surrounding area at 711 Fifth Avenue on the 43rd floor at 9 West 57th Street, as part of an effort to lower occupancy costs by bringing its businesses closer together.	A Sony concretizou esses movimentos, que incluíram a rescisão antecipada de aluguéis de espaço na área ao redor da Fifth Avenue, 711, no 43º andar da West 57th Street, 9, como parte de um esforço para reduzir os custos de ocupação, aproximando seus negócios.
A cash-strapped AT&T sold the building to Sony in 2002 for $236 million, or $315 per square foot.	Uma AT&T falida vendeu o prédio para a Sony em 2002 por US$ 236 milhões, ou US$ 315 por pé quadrado.
The building incorporated the Sony Wonder Technology Lab, a multimedia hands-on tour through the world of media, located in a four-story annex accessible through a glass-roofed atrium that connects 55th and 56th Streets in mid-block.	O edifício incorporou o Sony Wonder Technology Lab, um tour multimídia interativo pelo mundo da mídia, localizado em um anexo de quatro andares acessível por meio de um átrio com telhado de vidro que conecta as ruas 55th e 56th no meio do quarteirão.
It was open on Tuesdays through Saturdays, and Sony described the free exhibits as a "technology and entertainment museum for all ages".	Estava aberto de terça-feira a sábado, e a Sony descreveu as exposições gratuitas como um “museu de tecnologia e entretenimento para todas as idades”.
During 2008, the museum's third and fourth floors underwent renovations that were completed in fall 2008.	Ao longo de 2008, o terceiro e o quarto andares do museu passaram por reformas que foram concluídas no outono de 2008.
Sony Wonder replaced Infoquest Center, a permanent telecommunications exhibition that had been built by AT&T.	O Sony Wonder substituiu o Infoquest Center, uma exposição permanente de telecomunicações que havia sido construída pela AT&T. 
Sony permanently closed the lab on January 29, 2016.	A Sony fechou o laboratório permanentemente no dia 29 de janeiro de 2016.
On February 27, 2010, an accumulation of ice from the February 25–27, 2010 North American blizzard broke loose from an upper floor, breaking the glass ceiling of the atrium and injuring at least 15 inside who were attending a Purim celebration.	No dia 27 de fevereiro de 2010, um acúmulo de gelo da nevasca norte-americana de 25 a 27 de fevereiro de 2010 se soltou de um andar superior, quebrando o teto de vidro do átrio e ferindo pelo menos 15 pessoas que estavam participando de uma celebração de Purim.
In December 2012, bidding started on the building and in January 2013 Sony announced plans to sell the building to the Chetrit Group for $1.1 billion – $685 million more than it had paid for it.	Em dezembro de 2012, iniciou-se uma licitação para o edifício e em janeiro de 2013 a Sony anunciou planos de vender o prédio para o Chetrit Group por US$ 1,1 bilhões – US$ 685 milhões a mais que havia pago por ele.
Sony leased back its offices there through 2016, when it moved its headquarters south to 11 Madison Avenue.	A Sony locou seus escritórios lá até 2016, quando mudou sua sede para o sul, para a Madison Avenue, 11.
The Chetrit Group planned to redevelop the building as a combination of condominiums and a hotel.	O Chetrit Group planejava reconstruir o edifício como uma combinação de condomínios com hotel.
Chetrit abandoned this plan and sold the building to Olayan and Chelsfield in 2016, relinquishing the "Sony Tower" name.	A Chetrit abandonou esse plano e vendeu o prédio para a Olayan e Chelsfield em 2016, renunciando ao nome “Sony Tower”.
McNicoll relinquished command of HMAS Australia in July 1954 before the cruiser was paid off and marked for disposal the following month, and he briefly returned to duties at the Navy Office.	McNicoll renunciou ao comando do HMAS Australia em julho de 1954, antes do pagamento do cruzador e sua marcação para descarte no mês seguinte, e ele retornou brevemente às funções no escritório da Marinha.
In November, he embarked for London to attend the Imperial Defence College as part of the 1955 course intake, which signified that he had been marked for senior command. McNicoll and his wife, Ruth, had separated in 1950 and their divorce, which cited adultery as the cause, was finalised in October 1956, while the former was still in London.	Em novembro, ele embarcou para Londres para frequentar o Imperial Defence College como parte do curso de 1955, o que significava que ele havia sido selecionado para o comando sênior. McNicoll e sua esposa, Ruth, se separaram em 1950 e seu divórcio, que citou o adultério como causa, foi finalizado em outubro de 1956, enquanto o primeiro ainda estava em Londres.
On 17 May the following year, McNicoll wed Frances Mary Chadwick, a journalist, in the Hampstead register office.	No dia 17 de maio do ano seguinte, McNicoll se casou com Frances Mary Chadwick, uma jornalista, no cartório de Hampstead.
Made acting rear admiral in January 1957, McNicoll was appointed as Head of the Australian Joint Service Staff in London.	Designado contra-almirante interino em janeiro de 1957, McNicoll foi nomeado chefe do Estado-Maior do Serviço Conjunto Australiano em Londres.
He returned to Australia in February 1958 and was selected to serve as Deputy Secretary (Military) at the Department of Defence; McNicoll's rank was made substantive in July that year.	Ele voltou à Austrália em fevereiro de 1958 e foi escolhido para servir como vice-secretário (militar) no Departamento de Defesa; a posição de McNicoll tornou-se substancial em julho daquele ano.
On 8 January 1960, McNicoll was posted to the Naval Board in Canberra as Second Naval Member and Chief of Personnel.	No dia 8 de janeiro de 1960, McNicoll foi destacado para o Conselho Naval em Canberra como Segundo Membro Naval e Chefe de Pessoal.
As noted by historian Ian Pfennigwerth, McNicoll held this position at a time in which recruitment and retention in the Navy particularly lagged behind targets.	Conforme observado pelo historiador Ian Pfennigwerth, McNicoll ocupou essa posição em um momento em que o recrutamento e a retenção na Marinha estavam particularmente atrasados em relação aos objetivos.
McNicoll was additionally appointed as a trustee of the RAN Relief Trust Fund during this period.	McNicoll foi adicionalmente nomeado como fiduciário do RAN Relief Trust Fund durante este período.
Completing his term on the Naval Board, McNicoll was posted as Flag Officer Commanding HM Australian Fleet on 8 January 1962 and hoisted his standard aboard HMAS Melbourne, the flagship of the RAN.	Completando seu mandato no Conselho Naval, McNicoll foi nomeado Oficial da Bandeira Comandante da Frota Australiana do HM no dia 8 de janeiro de 1962 e içou seu estandarte a bordo do HMAS Melbourne, o estandarte do RAN.
The Australian government had designated the role of the RAN to be primarily one of anti-submarine warfare, a posture which McNicoll thought unwise.	O governo australiano designou o papel do RAN para ser principalmente um dos anti-submarinos de guerra, uma postura que McNicoll considerou imprudente.
McNicoll argued that surface and air weapons posed a threat equal to that of submarines toward vessels in modern naval warfare.	McNicoll argumentou que as armas terrestres e aéreas representavam uma ameaça igual à dos submarinos para os navios na guerra naval moderna.
As such, he campaigned for a contemporary aircraft carrier to replace that of HMAS Melbourne.	Dessa forma, ele fez campanha para um porta-aviões contemporâneo em substituição ao do HMAS Melbourne.
The Army and Air Force opposed McNicoll's stance, and the government ultimately concluded that there was no strategic requirement for a new carrier in light of agreements contained in the Southeast Asia Treaty Organization.	O Exército e a Força Aérea se opuseram à posição de McNicoll, e o governo decidiu que não havia necessidade estratégica de um novo porta-aviões diante dos acordos estabelecidos na Organização do Tratado do Sudeste Asiático.
In any event, McNicoll experienced a particularly demanding tenure as Fleet Commander since the RAN was in the process of a complete overhaul of its order of battle and, as a consequence, he had to manage the introduction and deployment into service of six Ton-class minesweepers acquired from the Royal Navy, along with the first batch of Westland Wessex helicopters and modernised afloat support capabilities.	De qualquer forma, McNicoll vivenciou um mandato particularmente exigente como Comandante da Frota, já que o RAN estava em processo de reformulação completa de sua ordem de batalha e, como consequência, ele teve que gerenciar a introdução e a implementação em serviço de seis caça-minas da classe Ton adquiridos da Marinha Real, juntamente com o primeiro lote de helicópteros Westland Wessex e recursos modernizados de suporte flutuante. 
Furthermore, McNicoll was charged with the responsibility of ensuring Australian naval commitments to the Far East Strategic Reserve were met.	Além disso, McNicoll recebeu a responsabilidade de assegurar o cumprimento dos compromissos navais australianos com a Reserva Estratégica do Extremo Oriente.
McNicoll's two-year term as Fleet Commander concluded on 6 January 1964, at which point he returned to the Naval Board as Fourth Naval Member and Chief of Supply.	O mandato de dois anos como Comandante da Frota foi concluído no dia 6 de janeiro de 1964, quando ele retornou ao Conselho Naval como Quarto Membro Naval e Chefe de Suprimentos.
However, this post proved short-lived with his appointment as Flag Officer-in-Charge East Australia Area, headquartered at the land base HMAS Kuttabul in Sydney, from June that year.	No entanto, esse cargo durou pouco com sua nomeação como Oficial da Bandeira da Área da Austrália Oriental, com sede na base terrestre HMAS Kuttabul em Sydney, a partir de junho daquele ano.
In the 1965 New Year Honours, McNicoll was appointed a Companion of the Order of the Bath.	Nas Honras de Ano Novo de 1965, McNicoll foi indicado Companheiro da Ordem do Banho.
On 24 February 1965, McNicoll was promoted vice admiral and made Chief of Naval Staff (CNS) in succession to Vice Admiral Sir Hastings Harrington.	No dia 24 de fevereiro de 1965, McNicoll foi promovido a Vice-Almirante e designado Chefe do Estado-Maior Naval (CNS) em sucessão ao Vice-Almirante Sir Hastings Harrington.
By virtue of this position, McNicoll was head of the Naval Board and the functional commander of the RAN. McNicoll's term as CNS was characterised by a period of heightened activity for the RAN in light of the Australian commitments to the Indonesia–Malaysia Konfrontasi and the Vietnam War.	Em virtude dessa posição, McNicoll foi Chefe do Conselho Naval e comandante funcional do RAN. O mandato de McNicoll como CNS foi caracterizado por um período de atividade intensificada para o RAN à luz dos compromissos australianos com o Confronto Indonésia-Malásia e com a Guerra do Vietnã.
The first movement is longer and more complex than any that Mozart had previously composed in the concerto genre.	O primeiro movimento é mais longo e mais complexo do que qualquer outro que Mozart compôs anteriormente no gênero concreto.
It is in ; among Mozart's 27 piano concertos, No. 4 in G Major, No.	Está dentro; entre os 27 concertos de piano de Mozart, número 4 em G menor, número
11 in F major and No. 14 in E♭ major are the only others to commence in triple metre.	11 em F maior e número 14 em E♭ maior são os únicos outros começando em compasso ternário.
The first movement follows the standard outline of a sonata form concerto movement of the Classical period.	O primeiro movimento segue o esquema padrão de um movimento de concerto em forma de sonata do período clássico.
It begins with an orchestral exposition, which is followed by a solo exposition, a development section, a recapitulation, a cadenza and a coda.	Começa com uma exposição orquestral, que é seguida por uma exposição solo, uma seção de desenvolvimento, uma cadência e uma coda.
Within this conventional outline, Mozart engages in extensive structural innovation.	Dentro desse esquema convencional, Mozart engrena em extensa inovação estrutural.
The development begins with the piano repeating its entry to the solo exposition, this time in the relative major of E♭.	O desenvolvimento começa com o piano repetindo sua entrada para a exposição solo, desta vez na relativa maior de E♭.
The Concerto No. 20 is the only other of Mozart's concertos in which the solo exposition and the development commence with the same material.	O Concerto número 20 é o único dos concertos de Mozart onde a exposição individual e o desenvolvimento começam com o mesmo material.
In the Concerto No. 24, the material unfolds in the development in a manner different from the solo exposition: the opening solo motif, with its half cadence, is repeated four times, with one intervention from the woodwinds, as if asking question after question.	No Concerto número 24, o material se desdobra no desenvolvimento de uma forma diferente da exposição individual: o motivo do solo de abertura, com sua meia cadência, repete-se quatro vezes, com uma intervenção das madeiras, como se fizessem uma pergunta atrás da outra.
The final question is asked in C minor and is answered by a descending scale from the piano that leads to an orchestral statement, in F minor, of the movement's principal theme.	A pergunta final é feita em C menor e é respondida por uma escala descendente do piano que leva a uma declaração orquestral, em F menor, do tema principal do movimento.
The orchestral theme is then developed: the motif of the theme's fourth and fifth measures descends through the circle of fifths, accompanied by an elaborate piano figuration.	O tema orquestral é então desenvolvido: o motivo do quarto e do quinto compassos do tema desce pelo círculo de quintas, acompanhado por uma elaborada figuração de piano.
After this, the development proceeds to a stormy exchange between the piano and the orchestra, which the twentieth-century Mozart scholar Cuthbert Girdlestone describes as "one of the few [occasions] in Mozart where passion seems really unchained", and which Tovey describes as a passage of "fine, severe massiveness".	Depois disso, o desenvolvimento para a troca tempestuosa entre o piano e a orquestra, que o estudioso de Mozart do século XX, Cuthbert Girdlestone, descreve como “uma das poucas [ocasiões] em Mozart onde a paixão parece realmente desencadeada”, e que Tovey descreve como uma passagem de “massividade fina e severa”.
The exchange resolves to a passage in which the piano plays a treble line of sixteenth notes, over which the winds add echoes of the main theme.	A troca se resolve em uma passagem na qual o piano toca uma linha aguda de semicolcheias, sobre a qual os sopros acrescentam ecos do tema principal.
This transitional passage ultimately modulates to the home key of C minor, bringing about the start of the recapitulation with the conventional re-statement, by the orchestra, of the movement's principal theme.	Essa passagem de transição acaba modulando para a tonalidade inicial de C menor, iniciando a recapitulação com a reafirmação convencional, pela orquestra, do tema principal do movimento.
The wide range of thematic material presented in the orchestral and solo expositions poses a challenge for the recapitulation.	A grande variedade de materiais temáticos apresentados nas exposições orquestrais e individuais é um desafio para a recapitulação. 
Mozart manages to recapitulate all of the themes in the home key of C minor.	Mozart consegue recapitular todos os temas na tônica de C menor.
The themes are necessarily compressed, are presented in a different order, and in their restated form, contain few virtuosic moments for the soloist.	Os temas são obrigatoriamente compactados, são apresentados em uma ordem diferente e, em sua forma reformulada, contêm poucos momentos de virtuosismo para o solista.
The last theme to be recapitulated is the secondary theme of the orchestral exposition, which has not been heard for some 400 measures and is now adorned by a passage of triplets from the piano.	O último tema a ser relembrado é o tema secundário da exposição orquestral, que não foi ouvido por cerca de 400 compassos e agora é enfeitado por uma passagem de tercinas do piano.
The recapitulation concludes with the piano playing arpeggiated sixteenths before a cadential trill leads into a ritornello.	O compêndio acaba com o piano tocando semicolcheias arpejadas antes de um trinado cadencial levar a um ritornelo.
The ritornello in turn leads into a fermata that prompts the soloist's cadenza.	O ritornelo, por sua vez, leva uma fermata que estimula a cadência do solista.
"All of Creation" was nominated for two awards at the 42nd GMA Dove Awards: "Song of the Year" and "Pop/Contemporary Recorded Song of the Year".	“All of Creation” foi indicada a dois prêmios no 42º GMA Dove Awards: “Música do ano” e “Música gravada de pop/contemporânea do ano”.
It was also nominated for "Christian Song of the Year" at the 2011 Billboard Music Awards.	Também foi indicada para “Música cristã do ano” no Billboard Music Awards de 2011.
"The Ones" was written by co-executive producer Jack Burditt, and directed by Beth McCarthy, a long-time television director who worked with series creator Tina Fey on the sketch comedy show Saturday Night Live.	“The Ones” foi escrito pelo co-produtor executivo Jack Burditt e dirigido por Beth McCarthy, uma diretora de televisão de longa data que trabalhou com a criadora da série Tina Fey no programa de comédia Saturday Night Live.
This was Burditt's tenth writing credit, and was McCarthy's sixth directed episode.	Esse foi o décimo crédito de roteiro para Burditt e foi o sexto episódio dirigido por McCarthy.
"The Ones" originally aired on NBC in the United States on April 23, 2009.	“The Ones” foi ao ar originalmente na NBC, nos Estados Unidos, no dia 23 de abril de 2009.
At the beginning of the episode, Jack and Liz are at a jewelry store, as Jack is searching for an engagement ring for Elisa.	No começo do episódio, Jack e Liz estão em uma joalheria, pois Jack está em busca de um anel de noivado para Elisa.
They shot that scene in a Cartier store in New York's Fifth Avenue, which was filmed on February 22, 2009. A scene featuring Sue LaRoche-Van der Hout (Sue Galloway) as the Grim Reaper, in which Jenna is led to believe Kenneth has gone into shock because of the strawberries, was cut from the airing.	Eles filmaram essa cena em uma loja Cartier na Fith Avenue em Nova York, que foi gravada no dia 22 de fevereiro de 2009. Uma cena com Sue LaRoche-Van der Hout (Sue Galloway) como a Grim Reaper, na qual Jenna é levada a acreditar que Kenneth entrou em choque por causa dos morangos, foi cortada antes de ir ao ar.
According to Jane Krakowski, in the DVD commentary for this episode, there were alternate scenes with Jenna letting Kenneth know about the tampering she did to Kenneth's items, his chickpea, water bottle, and harmonica.	De acordo com Jane Krakowski, no comentário do DVD para esse episódio, havia cenas alternativas com Jenna falando para Kenneth sobre a adulteração que ela fez nos itens dele, seu grão-de-bico, sua garrafa de água e sua gaita.
"The Ones" was actress Salma Hayek's final guest appearance on 30 Rock.	“The Ones” foi a última aparição da atriz Salma Hayek em 30 Rock.
Her first appearance on the show was in the episode "Señor Macho Solo", as a nurse for Jack's mother and love interest for him.	Sua primeria aparição no programa foi no episódio “Señor Macho Solo”, como enfermeira da mãe de Jack e interesse amoroso para ele.
She next guest-starred in the episodes "Flu Shot", "Generalissimo", "St.	Em seguida, ela estrelou os episódios “Flu Shot”, “Generalissimo”, “St.
Valentine's Day", and "Larry King".	Valentine's Day" e "Larry King".
News anchor Brian Williams, of NBC Nightly News, guest-starred as himself in this episode.	O âncora de notícias Brian Williams, do NBC Nightly News, estrelou como ele mesmo nesse episódio.
In a scene with Tracy and Jack at a club, Tracy reveals to Jack that he has been giving out his phone number to different women, though it is not his real number, which results in Williams receiving the calls.	Em uma cena com Tracy e Jack em um clube, Tracy revela a Jack que ele tem dado seu número de telefone a diferentes mulheres, embora não seja seu número verdadeiro, o que resulta em Williams recebendo as ligações.
Kenneth revealing that his real name is "Dick Whitman" is a reference to the main character Don Draper of Mad Men (played by Jon Hamm, who had a recurring role on 30 Rock earlier in the season).	Kenneth revelando que seu nome verdadeiro é “Dick Whitman” é uma referência ao personagem principal Don Draper de Mad Men (interpretado por Jon Hamm, que teve um papel recorrente em 30 Rock no início da temporada).
"Earn this", spoken by Kenneth as Jenna has poisoned him again, references the 1998 film Saving Private Ryan when actor Tom Hanks says the same words to actor Matt Damon's title character.	“Faça por merecer”, falado por Kenneth enquanto Jenna o envenena novamente, faz referência ao filme de 1998 O Resgate do Soldado Ryan, quando Tom Hanks diz as mesmas palavras ao personagem titular do ator Matt Damon.
When she is told that Kenneth has gone into a severe allergic shock and needs to have his hands cut off, Jenna apologizes to him for what she has done, telling him "I'm just a girl sitting in front of a boy she poisoned so this other guy would go to town on her", which Jenna misquotes from actress Julia Roberts' character from the romantic comedy Notting Hill (1999).	Quando ela é informada de que Kenneth entrou em um grave choque anafilático e precisa ter suas mãos cortadas, Jenna pede desculpas a ele pelo que ela fez, dizendo-lhe “eu sou apenas uma garota sentada na frente de um garoto que ela envenenou, para que esse outro cara viesse para a cidade por ela”, que Jenna cita erroneamente do personagem da atriz Julia Roberts na comédia romântica Notting Hill (1999).
After Kenneth drinks his strawberry water, as he risked his life so that Jenna can meet the paramedic again, Jenna says to Kenneth "You magnificent sonofabitch!", a line quoted by actor George C. Scott in the American biographical war film Patton (1970).	Após Kenneth beber sua água de morango, pois ele arriscou sua vida para que Jenna pudesse encontrar o paramédico novamente, Jenna diz a Kenneth “seu magnífico filho da puta!”, uma frase citada pelo ator George C. Scott no filme biográfico de guerra americano Patton (1970).
Kenneth blows white smoke out while referencing bringing back something from "the other side" (death) echoes the same look when actor Haley Joel Osment remarked "I see dead people" in the movie The Sixth Sense (1999).	Kenneth sopra fumaça branca enquanto faz referência a trazer de volta algo “do outro lado” (morte) ecoa o mesmo olhar quando o ator Haley Joel Osment comentou “eu vejo pessoas mortas” no filme O Sexto Sentido (1999).
The final three clips in the montage of Tracy taking off his shirt are real clips from Tracy Morgan interviews.	Os três últimos clipes na montagem de Tracy tirando a camisa são imagens reais de entrevistas com Tracy Morgan.
Also, Elisa wears a "What the Frak?!" Battlestar Galactica t-shirt, as she admits her secret to Jack and Liz. "It's not product placement—I just like it!", says Liz to Jack, after he storms into her office and she is wearing a Slanket, a sleeved blanket with sleeves usually made of fleece material.	Além disso, Elisa usa uma camiseta com “What the Frak?!” da série Battlestar Galactica, enquanto ela admite seu segredo para Jack e Liz. “Não é merchandising — eu apenas gosto disso!”, diz Liz para Jack depois que ele entra em seu escritório e ela esta vestindo um Slanket, um cobertor com mangas geralmente feito de pelo.
In its original American broadcast, "The Ones" was watched by 6.3 million households, according to the Nielsen ratings system.	Em sua transmissão americana original, “The Ones” foi assistido em 6,3 milhões de lares, de acordo com o sistema de classificação Nielsen.
Caesium is a relatively rare element, estimated to average 3 parts per million in the Earth's crust.	O césio é um elemento relativamente raro, estimado em média de três partes por milhão na crosta terrestre.
It is the 45th most abundant element and the 36th among the metals.	É o 45º elemento mais abundante e o 36º entre os metais.
Nevertheless, it is more abundant than such elements as antimony, cadmium, tin, and tungsten, and two orders of magnitude more abundant than mercury and silver; it is 3.3% as abundant as rubidium, with which it is closely associated, chemically.	No entanto, é mais abundante do que elementos como antimônio, cádmio, estanho e tungstênio, e duas ordens de grandeza mais abundante do que mercúrio e prata; é 3,3% tão abundante quanto o rubídio, com o qual está intimamente associado, quimicamente.
Due to its large ionic radius, caesium is one of the "incompatible elements".	Devido ao seu grande raio iônico, o césio é um dos “elementos incompatíveis”.
During magma crystallization, caesium is concentrated in the liquid phase and crystallizes last.	Quando o magma é cristalizado, o césio se concentra na fase líquida e cristaliza por último.
Therefore, the largest deposits of caesium are zone pegmatite ore bodies formed by this enrichment process.	Portanto, os maiores depósitos de césio são corpos de minério pegmatito da zona formados por este processo de enriquecimento.
Because caesium does not substitute for potassium as readily as rubidium does, the alkali evaporite minerals sylvite (KCl) and carnallite (KMgCl	Como o césio não substitui o potássio tão prontamente quanto o rubídio, os minerais alcalinos evaporíticos silvita (KCI) e a carnalita (KMgCl
₃·6H	₃·6H
₂O) may contain only 0.002% caesium.	₂O) podem conter apenas 0,002% de césio.
Consequently, caesium is found in few minerals.	Como resultado, o césio é encontrado em poucos minerais.
Percentage amounts of caesium may be found in beryl (Be	Quantidades percentuais de césio podem ser encontradas em berilo (Be
₃Al	₃Al
₂(SiO	₂(SiO
₃)	₃)
₆) and avogadrite ((K,Cs)BF	₆) e avogadrita ((K,Cs)BF
₄), up to 15 wt% Cs₂O in the closely related mineral pezzottaite (Cs(Be₂Li)Al₂Si₆O₁₈), up to 8.4 wt% Cs₂O in the rare mineral londonite ((Cs,K)Al	₄), até 15% em peso de Cs₂O no mineral intimamente relacionado pezzottaite (Cs(Be₂Li)Al₂Si₆O₁₈), até 8,4% em peso de Cs₂O no mineral raro londonita ((Cs,K)Al
₄Be	₄Be
₄(B,Be)	₄(B,Be)
₁₂O	₁₂O
₂₈), and less in the more widespread rhodizite.	₂₈), e menos na rodizita mais difundida.
